EventID,EventType,StartDateTime,EndDateTime,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,ZipCode(s),EventDuration in Hours,EncodedEventType,Mean Event Duration,Count Event Duration,Median Event Duration,Modal EventType,Max Event Duration,Min Event Duration,Maximum Event Duration for Shooting Permits,Minimum Event Duration for Shooting Permits,Average Event Duration for Shooting Permits,Maximum Event Duration for Theater Load in and Load Outs,Average Event Duration for Theater Load in and Load Outs,Maximum Event Duration for Rigging Permit,Average Event Duration for Rigging Permit,Maximum Event Duration for DCAS Prep/Shoot/Wrap Permit,Average Event Duration for DCAS Prep/Shoot/Wrap Permit
725999,Shooting Permit,6/22/23 6:00,6/22/23 18:00,Manhattan,5,13,Still Photography,Not Applicable,"10001, 10010",12,0,22.90171907,3403,,,,,,,,,,,,,
726132,Shooting Permit,6/22/23 5:00,6/22/23 12:00,Manhattan,5,18,Television,News,"10036, 10105",7,0,22.90492357,3402,,,,,,,,,,,,,
725487,Shooting Permit,6/21/23 18:00,6/22/23 5:00,Manhattan,9,"26, 30",Television,Episodic series,10031,11,0,22.90960012,3401,,,,,,,,,,,,,
717986,Theater Load in and Load Outs,6/22/23 6:00,6/22/23 23:59,Brooklyn,"2, 6","78, 84",Theater,Theater,11217,17.98333333,1,22.91310294,3400,,,,,,,,,,,,,
725066,Shooting Permit,6/21/23 22:00,6/22/23 6:00,Brooklyn,6,76,Music Video,Signed Artist,11231,8,0,22.9145533,3399,,,,,,,,,,,,,
725715,Shooting Permit,6/22/23 7:00,6/22/23 19:00,Manhattan,5,13,Still Photography,Not Applicable,10001,12,0,22.91894252,3398,,,,,,,,,,,,,
724844,Shooting Permit,6/21/23 11:00,6/22/23 2:00,Brooklyn,1,"90, 94",Film,Feature,"11222, 11237",15,0,22.92215681,3397,,,,,,,,,,,,,
725006,Shooting Permit,6/22/23 7:00,6/22/23 23:59,Manhattan,"5, 6","13, 17, 18",Television,Episodic series,"10016, 10019, 10020",16.98333333,0,22.9244896,3396,,,,,,,,,,,,,
725537,Shooting Permit,6/22/23 7:00,6/22/23 21:00,Brooklyn,5,75,Documentary,Not Applicable,11207,14,0,22.92623957,3395,,,,,,,,,,,,,
725343,Shooting Permit,6/23/23 7:00,6/23/23 23:00,Manhattan,"4, 5, 7","18, 20",Television,Episodic series,"10019, 10023",16,0,22.92886957,3394,,,,,,,,,,,,,
719400,Theater Load in and Load Outs,6/23/23 0:01,6/25/23 6:00,Manhattan,4,18,Theater,Theater,10019,53.98333333,1,22.93091168,3393,,,,,,,,,,,,,
726069,Shooting Permit,6/23/23 7:00,6/23/23 23:00,Brooklyn,"6, 7","72, 76",WEB,Not Applicable,"11231, 11232",16,0,22.92175708,3392,,,,,,,,,,,,,
719145,Shooting Permit,6/23/23 0:00,6/23/23 15:00,Manhattan,5,18,Television,News,"10036, 10105",15,0,22.92379829,3391,,,,,,,,,,,,,
725045,Shooting Permit,6/22/23 14:00,6/22/23 21:00,Brooklyn,"1, 2","114, 94",Still Photography,Not Applicable,"11101, 11211",7,0,22.92613569,3390,,,,,,,,,,,,,
725171,Theater Load in and Load Outs,6/23/23 0:01,6/24/23 6:00,Manhattan,"4, 5",14,Theater,Theater,"10001, 10121",29.98333333,1,22.93083505,3389,,,,,,,,,,,,,
718993,Shooting Permit,6/23/23 6:00,6/23/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.92875344,3388,,,,,,,,,,,,,
725498,Shooting Permit,6/22/23 18:00,6/23/23 5:00,Manhattan,9,"26, 30",Television,Episodic series,10031,11,0,22.93021356,3387,,,,,,,,,,,,,
725992,Shooting Permit,6/22/23 13:00,6/23/23 1:00,Brooklyn,10,68,Film,Feature,11209,12,0,22.93373696,3386,,,,,,,,,,,,,
726167,Shooting Permit,6/23/23 9:00,6/23/23 23:00,Brooklyn,10,68,Film,Feature,11209,14,0,22.93696701,3385,,,,,,,,,,,,,
725231,Shooting Permit,6/22/23 12:00,6/23/23 3:00,Manhattan,6,13,Film,Feature,10010,15,0,22.93960796,3384,,,,,,,,,,,,,
725717,Shooting Permit,6/23/23 7:00,6/23/23 20:00,Manhattan,"4, 5","10, 13",Still Photography,Not Applicable,10001,13,0,22.94195487,3383,,,,,,,,,,,,,
726094,Shooting Permit,6/23/23 9:00,6/23/23 23:00,Manhattan,"7, 9","24, 26",Film,Feature,"10024, 10025",14,0,22.94489454,3382,,,,,,,,,,,,,
746737,Shooting Permit,11/6/23 7:00,11/6/23 23:00,Manhattan,1,1,Commercial,Commercial,10013,16,0,22.94754018,3381,,,,,,,,,,,,,
747867,Shooting Permit,11/5/23 19:30,11/6/23 5:30,Brooklyn,7,72,Music Video,Signed Artist,"11215, 11232",10,0,22.94959566,3380,,,,,,,,,,,,,
747810,Theater Load in and Load Outs,11/7/23 0:01,11/21/23 23:59,Manhattan,7,20,Theater,Theater,10023,359.9666667,1,22.95342804,3379,,,,,,,,,,,,,
748077,Shooting Permit,11/7/23 6:00,11/7/23 23:00,Brooklyn,1,94,Commercial,Commercial,11222,17,0,22.85366094,3378,,,,,,,,,,,,,
748310,Shooting Permit,11/8/23 6:00,11/8/23 21:00,Manhattan,"12, 2","108, 33",Commercial,Commercial,"10032, 11101",15,0,22.85539433,3377,,,,,,,,,,,,,
748071,Shooting Permit,11/7/23 6:00,11/7/23 21:00,Queens,2,108,Commercial,Commercial,11101,15,0,22.85772117,3376,,,,,,,,,,,,,
746586,Theater Load in and Load Outs,11/8/23 0:01,11/8/23 23:59,Manhattan,4,18,Theater,Theater,10019,23.96666667,1,22.86004938,3375,,,,,,,,,,,,,
747989,Shooting Permit,11/7/23 6:00,11/7/23 22:00,Queens,7,109,Film,Feature,11354,16,0,22.8597214,3374,,,,,,,,,,,,,
748277,Shooting Permit,11/8/23 7:00,11/8/23 17:00,Manhattan,5,18,Television,News,"10036, 10105",10,0,22.86175511,3373,,,,,,,,,,,,,
748144,Shooting Permit,11/8/23 6:00,11/8/23 19:00,Manhattan,"2, 3",9,WEB,Not Applicable,10003,13,0,22.8655694,3372,,,,,,,,,,,,,
746696,Shooting Permit,11/7/23 6:00,11/7/23 22:00,Brooklyn,1,94,Commercial,Commercial,11222,16,0,22.868496,3371,,,,,,,,,,,,,
748046,Theater Load in and Load Outs,11/6/23 0:01,11/13/23 23:59,Manhattan,"4, 5",14,Theater,Theater,"10001, 10121",191.9666667,1,22.87053412,3370,,,,,,,,,,,,,
745187,Theater Load in and Load Outs,11/6/23 16:00,11/9/23 23:59,Manhattan,4,14,Theater,Theater,10001,79.98333333,1,22.82034234,3369,,,,,,,,,,,,,
722283,Theater Load in and Load Outs,6/24/23 0:01,6/25/23 6:00,Manhattan,4,14,Theater,Theater,10001,29.98333333,1,22.80336995,3368,,,,,,,,,,,,,
726032,Theater Load in and Load Outs,6/24/23 0:01,6/25/23 6:00,Manhattan,12,33,Theater,Theater,10033,29.98333333,1,22.8012375,3367,,,,,,,,,,,,,
718994,Shooting Permit,6/24/23 6:00,6/24/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.79910378,3366,,,,,,,,,,,,,
726264,Shooting Permit,6/24/23 7:00,6/24/23 23:00,Queens,2,108,Commercial,Commercial,11101,16,0,22.80053492,3365,,,,,,,,,,,,,
726407,Shooting Permit,6/24/23 6:00,6/24/23 22:00,Bronx,11,49,Commercial,Commercial,10461,16,0,22.80255648,3364,,,,,,,,,,,,,
724478,Shooting Permit,6/23/23 21:30,6/24/23 0:30,Manhattan,5,14,Documentary,Not Applicable,10018,3,0,22.80457924,3363,,,,,,,,,,,,,
726376,Shooting Permit,6/24/23 3:00,6/24/23 13:00,Manhattan,5,18,Television,News,"10036, 10105",10,0,22.81046996,3362,,,,,,,,,,,,,
722316,Shooting Permit,6/23/23 11:00,6/23/23 23:00,Manhattan,5,14,Film,Short,10001,12,0,22.81428146,3361,,,,,,,,,,,,,
725508,Shooting Permit,6/23/23 14:00,6/24/23 5:00,Queens,1,114,Film,Feature,"11101, 11102",15,0,22.8175,3360,,,,,,,,,,,,,
719804,Theater Load in and Load Outs,6/24/23 6:00,6/25/23 5:30,Manhattan,7,20,Theater,Theater,10023,23.5,1,22.81982733,3359,,,,,,,,,,,,,
726087,Shooting Permit,6/24/23 6:00,6/25/23 18:00,Manhattan,5,13,Television,Special/Awards Show,10010,36,0,22.81962478,3358,,,,,,,,,,,,,
726252,Shooting Permit,6/25/23 6:00,6/25/23 20:00,Brooklyn,14,70,Commercial,Commercial,11210,14,0,22.81569854,3357,,,,,,,,,,,,,
725429,Shooting Permit,6/25/23 6:00,6/25/23 21:00,Manhattan,4,"10, 14",Commercial,Commercial,10001,15,0,22.81832539,3356,,,,,,,,,,,,,
726377,Shooting Permit,6/25/23 0:00,6/25/23 13:00,Manhattan,5,18,Television,News,"10036, 10105",13,0,22.82065574,3355,,,,,,,,,,,,,
726380,Shooting Permit,6/25/23 6:00,6/25/23 22:00,Manhattan,"10, 9","26, 28, 32",Commercial,Commercial,"10026, 10027",16,0,22.82358378,3354,,,,,,,,,,,,,
726202,Shooting Permit,6/24/23 11:00,6/25/23 4:00,Bronx,"6, 7","17, 52",Film,Short,"10016, 10467, 10468",17,0,22.82561885,3353,,,,,,,,,,,,,
718995,Shooting Permit,6/25/23 6:00,6/25/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.8273568,3352,,,,,,,,,,,,,
719807,Theater Load in and Load Outs,6/25/23 6:00,6/26/23 5:30,Manhattan,7,20,Theater,Theater,10023,23.5,1,22.82880235,3351,,,,,,,,,,,,,
723525,Theater Load in and Load Outs,6/25/23 0:01,6/26/23 6:00,Brooklyn,1,94,Theater,Theater,11222,29.98333333,1,22.82860199,3350,,,,,,,,,,,,,
726470,Shooting Permit,6/26/23 7:00,6/26/23 19:00,Brooklyn,6,76,WEB,Not Applicable,11231,12,0,22.82646561,3349,,,,,,,,,,,,,
725935,Shooting Permit,6/26/23 6:00,6/26/23 22:00,Brooklyn,2,84,Commercial,Commercial,11201,16,0,22.82969932,3348,,,,,,,,,,,,,
719404,Theater Load in and Load Outs,6/26/23 0:01,6/30/23 6:00,Manhattan,4,18,Theater,Theater,10019,101.9833333,1,22.83173987,3347,,,,,,,,,,,,,
718996,Shooting Permit,6/26/23 6:00,6/26/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.80808428,3346,,,,,,,,,,,,,
725974,Shooting Permit,6/26/23 7:00,6/26/23 21:00,Queens,2,108,Television,Episodic series,11101,14,0,22.80952666,3345,,,,,,,,,,,,,
724302,Theater Load in and Load Outs,6/26/23 0:01,6/27/23 6:00,Manhattan,"4, 5",14,Theater,Theater,"10001, 10121",29.98333333,1,22.81216108,3344,,,,,,,,,,,,,
726276,Shooting Permit,6/26/23 6:00,6/26/23 23:59,Brooklyn,6,76,Commercial,Commercial,11231,17.98333333,0,22.81001595,3343,,,,,,,,,,,,,
748020,Shooting Permit,11/7/23 6:00,11/7/23 21:00,Brooklyn,"6, 7","72, 76",WEB,Not Applicable,"11231, 11232",15,0,22.8114602,3342,,,,,,,,,,,,,
747862,Shooting Permit,11/6/23 6:00,11/6/23 18:00,Manhattan,2,"1, 5",Still Photography,Not Applicable,"10012, 10013",12,0,22.81379826,3341,,,,,,,,,,,,,
